,bp_len_k1,bp_len_k2,bp_len_k3,bp_len_k4,bp_len_k5,bp_len_k6,bp_len_k7,bp_len_k8,bp_len_k9,st_len_k1,st_len_k2,st_len_k3,st_len_k4,st_len_k5,st_len_k6,st_len_k7,st_len_k8,st_len_k9,total_acc_k1,total_acc_k2,total_acc_k3,total_acc_k4,total_acc_k5,total_acc_k6,total_acc_k7,total_acc_k8,total_acc_k9,light_acc_k1,light_acc_k2,light_acc_k3,light_acc_k4,light_acc_k5,light_acc_k6,light_acc_k7,light_acc_k8,light_acc_k9,severe_acc_k1,severe_acc_k2,severe_acc_k3,severe_acc_k4,severe_acc_k5,severe_acc_k6,severe_acc_k7,severe_acc_k8,severe_acc_k9,killed_acc_k1,killed_acc_k2,killed_acc_k3,killed_acc_k4,killed_acc_k5,killed_acc_k6,killed_acc_k7,killed_acc_k8,killed_acc_k9
2013,46915.27,72687.0,46715.310000000005,37237.94,7252.29,4764.27,7931.57,16019.64,58790.31,126992.65117234466,104452.05762372901,69130.10654432983,73949.46803130918,59410.73674514636,49315.89312097231,108333.94974387078,75063.08465409561,131653.0372216382,604,337,573,612,786,517,659,657,898,594,331,554,593,754,501,630,637,876,10,6,18,18,30,14,27,17,20,0.0,0.0,1.0,1.0,2.0,2.0,2,3.0,2.0
2014,47842.399999999994,72955.35,46715.310000000005,37855.96000000001,7624.37,5400.01,9054.9,18665.449999999997,71354.67,126992.65117234466,104452.05762372901,69130.10654432983,73949.46803130918,59410.73674514636,49315.89312097231,108333.94974387078,75063.08465409561,131653.0372216382,505,343,510,555,626,462,684,614,885,492,336,480,539,604,446,659,589,860,13,6,29,16,22,15,24,21,23,0.0,1.0,1.0,0.0,0.0,1.0,1,4.0,2.0
2015,50977.25,72955.35,46715.310000000005,37855.96000000001,7794.05,5501.84,10478.98,19222.39,71592.37,126992.65117234466,104452.05762372901,69130.10654432983,73949.46803130918,59410.73674514636,49315.89312097231,108333.94974387078,75063.08465409561,131653.0372216382,562,353,492,553,667,507,714,674,878,554,340,469,537,644,492,682,641,844,8,11,21,15,22,15,30,33,32,0.0,2.0,2.0,1.0,1.0,0.0,2,0.0,2.0
2016,51476.17,72955.35,46715.310000000005,41919.26,7794.05,5740.2,10791.71,20000.27,72210.2,126992.65117234466,104452.05762372901,69130.10654432983,73949.46803130918,59410.73674514636,49315.89312097231,108333.94974387078,75063.08465409561,131653.0372216382,497,332,528,537,656,483,672,618,787,483,320,506,518,632,460,637,588,755,14,12,21,19,23,23,31,29,31,0.0,0.0,1.0,0.0,1.0,0.0,4,1.0,1.0
2017,56156.939999999995,72955.35,46715.310000000005,42222.91,7892.13,5740.2,10791.71,20347.75,72547.68,126992.65117234466,104452.05762372901,69130.10654432983,73949.46803130918,59410.73674514636,49315.89312097231,108333.94974387078,75063.08465409561,131653.0372216382,503,259,478,469,591,427,641,590,746,478,248,461,452,558,413,616,569,706,22,9,16,17,33,14,22,19,39,3.0,2.0,1.0,0.0,0.0,0.0,3,2.0,1.0
2018,58788.909999999996,72955.35,46972.93,44791.100000000006,7892.13,5740.2,13379.130000000001,20605.11,74189.88,126992.65117234466,104452.05762372901,69130.10654432983,73949.46803130918,59410.73674514636,49315.89312097231,108333.94974387078,75063.08465409561,131653.0372216382,407,282,422,438,550,362,582,537,631,382,269,400,417,517,345,550,514,598,20,11,19,21,32,14,29,21,31,5.0,2.0,3.0,0.0,1.0,3.0,3,2.0,2.0
2019,58788.909999999996,86135.55,46972.93,45242.19,8042.0,5740.2,28479.95,20605.11,75575.45999999999,126992.65117234466,104452.05762372901,69130.10654432983,73949.46803130918,59410.73674514636,49315.89312097231,108333.94974387078,75063.08465409561,131653.0372216382,424,233,364,427,594,417,617,493,659,408,220,346,402,566,404,582,470,622,15,12,16,23,27,13,31,20,34,1.0,1.0,2.0,2.0,1.0,0.0,4,3.0,3.0
2020,62304.329999999994,99939.85,49349.71000000001,47843.23,10641.89,7186.91,29701.920000000002,20833.94,80888.29,126992.65117234466,104452.05762372901,69130.10654432983,73949.46803130918,59410.73674514636,49315.89312097231,108333.94974387078,75063.08465409561,131653.0372216382,290,197,321,335,466,321,513,479,543,280,185,302,320,442,310,484,453,512,9,11,19,14,24,11,25,25,26,1.0,1.0,0.0,1.0,0.0,0.0,4,1.0,5.0
2021,72074.59999999999,100311.73000000001,62188.490000000005,60219.41,22783.19,10496.130000000001,36588.18,37951.35,84194.83,126992.65117234466,104452.05762372901,69130.10654432983,73949.46803130918,59410.73674514636,49315.89312097231,108333.94974387078,75063.08465409561,131653.0372216382,341,188,322,366,495,365,543,505,562,326,172,297,349,466,341,513,481,524,13,14,24,15,28,21,28,20,35,2.0,2.0,1.0,2.0,1.0,3.0,2,4.0,3.0
2022,73801.48,102752.97,63204.22,72757.26000000001,24009.899999999998,23202.7,37499.82,38071.369999999995,84731.9,126992.65117234466,104452.05762372901,69130.10654432983,73949.46803130918,59410.73674514636,49315.89312097231,108333.94974387078,75063.08465409561,131653.0372216382,356,209,304,367,494,388,538,494,570,326,191,285,342,457,366,502,460,543,28,18,17,23,35,22,31,30,25,2.0,0.0,2.0,2.0,2.0,0.0,5,4.0,2.0
2023,90117.37,103652.58,63204.22,72757.26000000001,24186.629999999997,25227.59,37499.82,38071.369999999995,84731.9,126992.65117234466,104452.05762372901,69130.10654432983,73949.46803130918,59410.73674514636,49315.89312097231,108333.94974387078,75063.08465409561,131653.0372216382,312,190,254,336,438,351,450,385,542,291,179,238,322,410,335,428,360,505,18,11,14,13,27,14,18,23,37,3.0,0.0,2.0,1.0,1.0,2.0,4,2.0,0.0
